Time,SessionTime,Distance,Speed,RPM,nGear,Throttle,Brake,DRS,X,Y,Z
0 days 00:00:56.252000,0 days 01:57:22.344000,3680.3163888888894,311.0,11068.0,8,100.0,False,0,4045.2987235025716,7617.757692830547,1896.2656265871074
0 days 00:00:56.452000,0 days 01:57:22.544000,3697.538611111111,310.0,11002.0,8,100.0,False,0,3973.322189534583,7555.154166090143,1897.2698654290364
0 days 00:00:56.583000,0 days 01:57:22.675000,3708.7777388808404,309.45188272418204,11003.096234551636,8,100.0,False,0,3918.0,7507.0,1898.0
0 days 00:00:56.691000,0 days 01:57:22.783000,3718.052777777778,309.0,11004.0,8,100.0,False,0,3862.741395487703,7458.900776132106,1898.790884223455
0 days 00:00:56.931000,0 days 01:57:23.023000,3738.7861111111106,311.0,11015.0,8,100.0,False,0,3717.5284233935117,7332.546368901137,1900.898131486574
0 days 00:00:56.943000,0 days 01:57:23.035000,3739.8265062709947,310.94,11014.04,8,100.0,False,0,3710.0,7326.0,1901.0
0 days 00:00:57.564000,0 days 01:57:23.656000,3793.4853434471647,307.83500032,10964.36000512,8,100.0,False,0,3297.0,6967.0,1906.0
0 days 00:00:57.731000,0 days 01:57:23.823000,3807.008333333333,307.0,10951.0,8,100.0,True,0,3178.778534785525,6863.907859466279,1907.6303329188358
0 days 00:00:57.924000,0 days 01:57:24.016000,3821.907380313604,285.5555626666667,10462.602939733333,8,47.46112853333334,True,0,3062.0,6762.0,1909.0
0 days 00:00:58.091000,0 days 01:57:24.183000,3833.708333333333,267.0,10040.0,8,2.0,True,0,2999.0628160741703,6707.055047319713,1909.0640409030702
0 days 00:00:58.164000,0 days 01:57:24.256000,3838.431249939087,256.9625088,9988.53504512,8,2.18249984,True,0,2972.0,6683.0,1909.0
0 days 00:00:58.491000,0 days 01:57:24.583000,3857.2638888888887,212.0,9758.0,8,3.0,True,0,2818.6856733655004,6542.047500195268,1908.997505232404
